EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM297,18.00,18-25,Yes,Travel_Rarely,230.00,Research & Development,3.00,3,Life Sciences,1,405,3,Male,54,3,1,Laboratory Technician,3,Single,1420.00,Upto 5k,25233.00,1,Y,No,13,3,3,80,0,0.00,2,3,0.00,0,0,0
RM302,18.00,18-25,No,Travel_Rarely,812.00,Sales,10.00,3,Medical,1,411,4,Female,69,2,1,Sales Representative,3,Single,1200.00,Upto 5k,9724.00,1,Y,No,12,3,1,80,0,0.00,2,3,0.00,0,0,0
RM458,18.00,18-25,Yes,Travel_Frequently,1306.00,Sales,5.00,3,Marketing,1,614,2,Male,69,3,1,Sales Representative,2,Single,1878.00,Upto 5k,8059.00,1,Y,Yes,14,3,4,80,0,0.00,3,3,0.00,0,0,0
RM728,18.00,18-25,No,Non-Travel,287.00,Research & Development,5.00,2,Life Sciences,1,1012,2,Male,73,3,1,Research Scientist,4,Single,1051.00,Upto 5k,13493.00,1,Y,No,15,3,4,80,0,0.00,2,3,0.00,0,0,0
RM829,18.00,18-25,Yes,Non-Travel,247.00,Research & Development,8.00,1,Medical,1,1156,3,Male,80,3,1,Laboratory Technician,3,Single,1904.00,Upto 5k,13556.00,1,Y,No,12,3,4,80,0,0.00,0,3,0.00,0,0,0
RM973,18.00,18-25,No,Non-Travel,1124.00,Research & Development,1.00,3,Life Sciences,1,1368,4,Female,97,3,1,Laboratory Technician,4,Single,1611.00,Upto 5k,19305.00,1,Y,No,15,3,3,80,0,0.00,5,4,0.00,0,0,0
RM1154,18.00,18-25,Yes,Travel_Frequently,544.00,Sales,3.00,2,Medical,1,1624,2,Female,70,3,1,Sales Representative,4,Single,1569.00,Upto 5k,18420.00,1,Y,Yes,12,3,3,80,0,0.00,2,4,0.00,0,0,0
RM1312,18.00,18-25,No,Non-Travel,1431.00,Research & Development,14.00,3,Medical,1,1839,2,Female,33,3,1,Research Scientist,3,Single,1514.00,Upto 5k,8018.00,1,Y,No,16,3,3,80,0,0.00,4,1,0.00,0,0,0
RM128,19.00,18-25,Yes,Travel_Rarely,528.00,Sales,22.00,1,Marketing,1,167,4,Male,50,3,1,Sales Representative,3,Single,1675.00,Upto 5k,26820.00,1,Y,Yes,19,3,4,80,0,0.00,2,2,0.00,0,0,0
RM150,19.00,18-25,No,Travel_Rarely,1181.00,Research & Development,3.00,1,Medical,1,201,2,Female,79,3,1,Laboratory Technician,2,Single,1483.00,Upto 5k,16102.00,1,Y,No,14,3,4,80,0,1.00,3,3,1.00,0,0,0
